Country Name,Country Code,Indicator Name,2021,2022,2023
Africa Eastern and Southern,AFE,Current health expenditure (% of GDP),5.946320069461881,5.566468992361043,5.543797304124695
Africa Eastern and Southern,AFE,GDP per capita (constant 2015 US$),1422.6554631187314,1437.0913937496612,1428.5462384367625
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",62.979999185749385,64.48715179043667,65.14622791637242
Africa Eastern and Southern,AFE,"Mortality rate, infant (per 1,000 live births)",44.321233387264186,44.3419940282618,41.969085379329854
Africa Eastern and Southern,AFE,People using at least basic sanitation services (% of population),33.57106633781098,34.27916961205134,34.07951394853839
Africa Western and Central,AFW,Current health expenditure (% of GDP),4.135654711294637,4.174501070950486,4.142601451153942
Africa Western and Central,AFW,GDP per capita (constant 2015 US$),1725.1712167383885,1761.0594514084712,1782.326070042659
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",57.35501504543722,57.97899546652321,58.847483384040494
Africa Western and Central,AFW,"Mortality rate, infant (per 1,000 live births)",59.13259220356078,60.096105563068136,57.35368169200218
Africa Western and Central,AFW,People using at least basic sanitation services (% of population),38.03527224649662,39.22050354055189,40.17134389550573
Arab World,ARB,Current health expenditure (% of GDP),5.262487599241233,4.669185701387301,5.165764916983871
Arab World,ARB,GDP per capita (constant 2015 US$),6083.571989470263,6361.380844425344,6322.0255833111405
Arab World,ARB,"Life expectancy at birth, total (years)",70.4041144889903,71.87609559922223,72.44467835785314
Arab World,ARB,"Mortality rate, infant (per 1,000 live births)",27.882491036699967,28.727004838455688,27.44093689713154
Arab World,ARB,People using at least basic sanitation services (% of population),85.29708136422956,85.80413417562619,86.35323165027397
Caribbean small states,CSS,Current health expenditure (% of GDP),6.452955914054719,5.57302406714792,5.4877879619410495
Caribbean small states,CSS,GDP per capita (constant 2015 US$),13353.216899461686,15259.851605059292,16520.506662977536
Caribbean small states,CSS,"Life expectancy at birth, total (years)",69.92281074717687,72.83229210906075,73.17164500130976
Caribbean small states,CSS,"Mortality rate, infant (per 1,000 live births)",18.008372050789234,17.52984792026417,17.020532504721867
Caribbean small states,CSS,People using at least basic sanitation services (% of population),91.57155460463125,91.73897766224567,92.1260526389118
Central Europe and the Baltics,CEB,Current health expenditure (% of GDP),7.35978123666996,7.015139274974122,7.172075088561394
Central Europe and the Baltics,CEB,GDP per capita (constant 2015 US$),15739.24413178253,16396.996639729237,16496.672877909194
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",74.72328278590768,76.65229872925835,77.75803846836848
Central Europe and the Baltics,CEB,"Mortality rate, infant (per 1,000 live births)",3.894364364048909,3.91785867447588,3.952796712751239
Central Europe and the Baltics,CEB,People using at least basic sanitation services (% of population),95.63430780301992,95.83850440511932,96.04115370028887
Early-demographic dividend,EAR,Current health expenditure (% of GDP),5.079455039940017,4.79146885384,4.827638842612603
Early-demographic dividend,EAR,GDP per capita (constant 2015 US$),3506.5028630728066,3676.3765412703374,3783.3136499138295
Early-demographic dividend,EAR,"Life expectancy at birth, total (years)",68.17909948396336,71.43045525086939,71.7962449795855
Early-demographic dividend,EAR,"Mortality rate, infant (per 1,000 live births)",28.332065856773305,27.47839947364834,26.141172194300623
Early-demographic dividend,EAR,People using at least basic sanitation services (% of population),75.20932576887442,76.92930050651374,78.48967816554467
East Asia & Pacific,EAS,Current health expenditure (% of GDP),6.843753029835751,7.029149315986543,6.820392360224897
East Asia & Pacific,EAS,GDP per capita (constant 2015 US$),12018.116095976426,12361.438572747946,12838.668157464494
East Asia & Pacific,EAS,"Life expectancy at birth, total (years)",76.152941315904,76.67671671474523,76.6572021082574
East Asia & Pacific,EAS,"Mortality rate, infant (per 1,000 live births)",11.5,11.4,11.1
East Asia & Pacific,EAS,People using at least basic sanitation services (% of population),92.03684263746985,93.25315596949068,94.3670031418802
East Asia & Pacific (excluding high income),EAP,Current health expenditure (% of GDP),5.15121582835273,5.584806470013621,5.608355198300051
East Asia & Pacific (excluding high income),EAP,GDP per capita (constant 2015 US$),8905.680674630028,9200.1190748992,9666.084326452565
East Asia & Pacific (excluding high income),EAP,"Life expectancy at birth, total (years)",75.27814184108492,75.9325409436903,75.88068308952657
East Asia & Pacific (excluding high income),EAP,"Mortality rate, infant (per 1,000 live births)",12.11318252595786,12.01615812421476,11.725115588833953
East Asia & Pacific (excluding high income),EAP,People using at least basic sanitation services (% of population),91.22979600969128,92.57633186016102,93.80707777190716
East Asia & Pacific (IDA & IBRD countries),TEA,Current health expenditure (% of GDP),5.151360576272505,5.5850202755135605,5.60851637724168
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (constant 2015 US$),9005.518064063654,9303.40405088781,9774.780429859591
East Asia & Pacific (IDA & IBRD countries),TEA,"Life expectancy at birth, total (years)",75.3009806060199,75.96103474613362,75.90856436038071
East Asia & Pacific (IDA & IBRD countries),TEA,"Mortality rate, infant (per 1,000 live births)",12.08059132880419,11.976870768050867,11.67640973392274
East Asia & Pacific (IDA & IBRD countries),TEA,People using at least basic sanitation services (% of population),91.3110492550982,92.673865374262,93.91948025313984
Euro area,EMU,Current health expenditure (% of GDP),11.160576452258631,10.658691476903329,10.289918007465396
Euro area,EMU,GDP per capita (constant 2015 US$),36304.01204882124,37533.55240375511,37542.8850711276
Euro area,EMU,"Life expectancy at birth, total (years)",81.39312030595771,81.48694737355933,82.13789561354979
Euro area,EMU,"Mortality rate, infant (per 1,000 live births)",3.1034444233086047,3.08079582441602,3.065071432289669
Euro area,EMU,People using at least basic sanitation services (% of population),98.75902116186607,98.79676013882384,98.80157170823809
Europe & Central Asia,ECS,Current health expenditure (% of GDP),10.379372171451015,9.709432308699686,9.584967685504507
Europe & Central Asia,ECS,GDP per capita (constant 2015 US$),24641.42520225882,25489.15292541555,25741.03800706912
Europe & Central Asia,ECS,"Life expectancy at birth, total (years)",76.72862085360363,77.83456513486252,78.39123420104971
Europe & Central Asia,ECS,"Mortality rate, infant (per 1,000 live births)",6.9,6.8,6.9
Europe & Central Asia,ECS,People using at least basic sanitation services (% of population),96.98147564712032,97.14035348145234,97.29513399488584
Europe & Central Asia (excluding high income),ECA,Current health expenditure (% of GDP),5.674320859024314,4.609285672226677,4.9205238605961545
Europe & Central Asia (excluding high income),ECA,GDP per capita (constant 2015 US$),7690.469914225008,7972.628076894237,8435.753811069553
Europe & Central Asia (excluding high income),ECA,"Life expectancy at birth, total (years)",72.88237620529432,74.57316841904739,74.79014162699094
Europe & Central Asia (excluding high income),ECA,"Mortality rate, infant (per 1,000 live births)",12.192574315861767,12.089963195103572,12.287357713830897
