Country Name,Country Code,Current health expenditure (% of GDP),GDP per capita (constant 2015 US$),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)",People using at least basic sanitation services (% of population)
Afghanistan,AFG,14.9857626,378.0663031225898,66.035,49.9,53.0909369400519
Africa Eastern and Southern,AFE,5.543797304124695,1428.5462384367625,65.14622791637242,41.969085379329854,34.07951394853839
Africa Western and Central,AFW,4.142601451153942,1782.326070042659,58.847483384040494,57.35368169200218,40.17134389550573
Albania,ALB,7.05240345,6204.435256121144,79.602,8.3,99.2994944120586
Algeria,DZA,4.35082531,4660.4054568789525,76.261,19.7,85.8670433970582
Andorra,AND,7.69928026,40227.23352974002,84.041,2.5,100.0
Antigua and Barbuda,ATG,3.91348195,17938.31868280469,77.598,7.2,99.6058209466968
Arab World,ARB,5.165764916983871,6322.0255833111405,72.44467835785314,27.44093689713154,86.35323165027397
Armenia,ARM,9.32119179,5197.235090135753,77.4658536585366,8.9,93.5674537130871
Australia,AUS,10.39852047,61869.082498575975,83.05121951219513,3.1,100.0
Austria,AUT,11.15297318,46497.91146403411,81.79268292682929,2.8,99.9722421586423
Azerbaijan,AZE,4.27113533,5668.610213170288,74.429,13.2,97.9482163589564
Bahrain,BHR,3.99562383,25342.622664157167,81.284,7.2,100.0
Bangladesh,BGD,2.17014575,1885.3773361354515,74.672,24.4,65.6304136319171
Barbados,BRB,5.40463829,21701.266027070076,76.178,9.4,98.0924623115578
Belarus,BLR,7.08167362,6497.78450683592,74.18378048780488,1.9,99.7199437262096
Belgium,BEL,10.80371571,44828.22745212442,82.40000000000002,3.2,99.4862165648512
Belize,BLZ,4.14735794,6165.6941482593575,73.566,10.9,84.2497280854857
Benin,BEN,3.33732462,1263.621583363682,60.774,46.5,21.5460291941212
Bhutan,BTN,4.41551638,3480.5138852318423,72.975,14.3,85.2990010822165
Bolivia,BOL,6.91864729,3122.770494662225,68.581,14.9,70.4335419312464
Botswana,BWA,6.25574684,7269.051706644575,69.163,33.3,71.9941392506475
Brazil,BRA,9.73092747,9288.027014700689,75.848,12.4,91.7128476214348
Brunei Darussalam,BRN,2.2286067,28645.96453962838,75.327,8.7,100.0
Bulgaria,BGR,7.91853094,9787.76510584614,75.75609756097562,4.8,86.0662621462475
